[admin.py:29] - 2023-08-16 20:59:09,325 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-08-16 20:59:09,325 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-08-16 20:59:09,344 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\eucha\\AppData\\Local\\Programs\\Python\\Python311\\python.exe', 'builder.pyw']
[admin.py:80] - 2023-08-16 20:59:09,344 - INFO - Running command 'C:\\Users\\eucha\\AppData\\Local\\Programs\\Python\\Python311\\python.exe' - 'builder.pyw'
[admin.py:29] - 2023-08-16 20:59:11,668 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,842 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,842 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,843 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,844 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,844 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,844 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,845 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,845 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,845 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,845 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,845 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,845 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,845 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,845 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,845 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,845 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,845 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,845 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,846 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,846 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,846 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,846 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,846 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-08-16 20:59:11,846 - DEBUG - STREAM b'IDAT' 91 1063
[connectionpool.py:1048] - 2023-08-16 21:04:11,011 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:546] - 2023-08-16 21:04:11,482 - DEBUG - https://discord.com:443 "GET /api/webhooks/1141371871200301057/XdDGpXmVt0H_iL_StuZsqVDqclpqLrW59KVFlzwzEITuDouyF00d81N32KWODDfIegCJ HTTP/1.1" 200 None
[builder.pyw:425] - 2023-08-16 21:04:35,457 - INFO - Retrieved filename: FPS UNLOCKER V 0.5.3
[builder.pyw:394] - 2023-08-16 21:04:35,457 - INFO - Changed filetype: pyinstaller
[builder.pyw:394] - 2023-08-16 21:04:35,457 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-08-16 21:04:35,459 - INFO - Successfully changed config
[builder.pyw:555] - 2023-08-16 21:04:35,554 - ERROR - Error with writing and obfuscating file: [WinError 2] The system cannot find the file specified: './Obfuscated_FPS UNLOCKER V 0.5.3.py' -> './FPS UNLOCKER V 0.5.3.py'
[builder.pyw:489] - 2023-08-16 21:04:38,572 - INFO - Successfully compiled FPS UNLOCKER V 0.5.3.exe with pyinstaller
[builder.pyw:456] - 2023-08-16 21:04:40,440 - INFO - Successfully pumped file: FPS UNLOCKER V 0.5.3.exe
[builder.pyw:529] - 2023-08-16 21:04:40,445 - INFO - Successfully removed directory: ./build
[builder.pyw:538] - 2023-08-16 21:04:40,447 - INFO - Successfully removed file: ./tools/upx.exe
[builder.pyw:538] - 2023-08-16 21:04:40,448 - INFO - Successfully removed file: ./FPS UNLOCKER V 0.5.3.spec
[builder.pyw:425] - 2023-08-16 21:19:13,656 - INFO - Retrieved filename: FPS UNLOCKER V 0.5.3
[builder.pyw:391] - 2023-08-16 21:19:13,656 - INFO - Changed filetype: .py
[builder.pyw:445] - 2023-08-16 21:19:13,657 - INFO - Successfully changed config
[builder.pyw:555] - 2023-08-16 21:19:13,733 - ERROR - Error with writing and obfuscating file: [WinError 2] The system cannot find the file specified: './Obfuscated_FPS UNLOCKER V 0.5.3.py' -> './FPS UNLOCKER V 0.5.3.py'
[builder.pyw:456] - 2023-08-16 21:19:14,710 - INFO - Successfully pumped file: FPS UNLOCKER V 0.5.3.py
[admin.py:92] - 2023-08-16 21:21:08,473 - INFO - Process handle <PyHANDLE:1584> returned code 0
[admin.py:29] - 2023-08-16 21:22:06,913 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-08-16 21:22:06,914 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-08-16 21:22:06,919 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\eucha\\AppData\\Local\\Programs\\Python\\Python311\\python.exe', 'builder.pyw']
[admin.py:80] - 2023-08-16 21:22:06,919 - INFO - Running command 'C:\\Users\\eucha\\AppData\\Local\\Programs\\Python\\Python311\\python.exe' - 'builder.pyw'
[admin.py:29] - 2023-08-16 21:22:09,724 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:202] - 2023-08-16 21:22:09,836 - DEBUG - STREAM b'IHDR' 16 13
